4004,WriteDoException,DO 寫入錯誤例外,回傳 log 資料,DO 寫入錯誤例外,回傳 log 資料
4005,ReadDiFail,Di 讀取失敗,確認 adlink 錯誤碼,Di 讀取失敗,確認 adlink 錯誤碼
4006,WriteDoFail,Do 寫入失敗,確認 adlink 錯誤碼,Do 寫入失敗,確認 adlink 錯誤碼
4007,BlockDownTimeOut,出料擋板下降逾時,確認 IO . 磁簧開關. 氣壓.,出料擋板下降逾時,確認 IO . 磁簧開關. 氣壓.
4008,BlockUpTimeOut,出料擋板上升逾時,確認 IO . 磁簧開關. 氣壓.,出料擋板上升逾時,確認 IO . 磁簧開關. 氣壓.
4009,RejecterBackwardTimeOut,排料氣缸後位逾時,確認 IO . 磁簧開關. 氣壓.,排料氣缸後位逾時,確認 IO . 磁簧開關. 氣壓.
4010,RejecterForwardTimeOut,排料氣缸前位逾時,確認 IO . 磁簧開關. 氣壓.,排料氣缸前位逾時,確認 IO . 磁簧開關. 氣壓.
4011,NGClassifyBackwardTimeOut,分類 NG 後位逾時,確認 IO . 磁簧開關. 氣壓.,分類 NG 後位逾時,確認 IO . 磁簧開關. 氣壓.
4012,NGClassifyForwardTimeOut,分類 NG 前位逾時,確認 IO . 磁簧開關. 氣壓.,分類 NG 前位逾時,確認 IO . 磁簧開關. 氣壓.
4013,OutMotorAlarm,出料馬達異常,確認馬達. 輸送帶狀況.,出料馬達異常,確認馬達. 輸送帶狀況.
4014,InMotorAlarm,入料馬達異常,確認馬達. 輸送帶狀況.,入料馬達異常,確認馬達. 輸送帶狀況.
4015,OutMotorAlarmResetFail,出料馬達異常回復失敗,確認 IO 狀況. 馬達狀況.,出料馬達異常回復失敗,確認 IO 狀況. 馬達狀況.
4016,InMotorAlarmResetFail,入料馬達異常回復失敗,確認 IO 狀況. 馬達狀況.,入料馬達異常回復失敗,確認 IO 狀況. 馬達狀況.
6001,SystemConfigFileLost,系統設定檔遺失,確認系統設定檔位置. 並確認系統設定參數.,系統設定檔遺失,確認系統設定檔位置. 並確認系統設定參數.
6002,RecipeFileNotExist,參數檔案不存在,確認參數檔案位置,參數檔案不存在,確認參數檔案位置
6003,AvlModelFolderNotExist,AI 模型資料夾不存在,確認模型資料夾位置. 並重新設定.,AI 模型資料夾不存在,確認模型資料夾位置. 並重新設定.
6004,ResultLogSaveException,生產結果儲存錯誤例外,確認生產 log 是否被開啟.,生產結果儲存錯誤例外,確認生產 log 是否被開啟.
6005,Draw2DMarkException,繪圖錯誤例外,回傳 log 資料. 確認 adaptive vision dongle 狀態.,繪圖錯誤例外,回傳 log 資料. 確認 adaptive vision dongle 狀態.
6006,SetMarkRegionException,設定檢測範圍錯誤例外,回傳 log 資料. 確認 adaptive vision dongle 狀態.,設定檢測範圍錯誤例外,回傳 log 資料. 確認 adaptive vision dongle 狀態.
6007,LocateMarkException,2D 定位錯誤例外,回傳 log 資料,2D 定位錯誤例外,回傳 log 資料
6008,ModelIdBatFileNotExist,模型 bat 檔不存在,確認檔案. 重新建立 bat 檔.,模型 bat 檔不存在,確認檔案. 重新建立 bat 檔.
7001,FTPUploadTimeOut,FTP 上傳檔案逾時,確認 FTP log 資料. 網路狀況.,FTP 上傳檔案逾時,確認 FTP log 資料. 網路狀況.
7501,FTPDelay,FTP 上傳檔案延遲,確認 FTP log 資料,FTP 上傳檔案延遲,確認 FTP log 資料
8001,OutConveyorSensorOffTimeOut,出料感測器持續檢出,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.,出料感測器持續檢出,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.
8002,InConveyorSensorOffTimeOut,入料感測器持續檢出,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.,入料感測器持續檢出,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.
8003,MaterialDelayTimeOut,計算結果等待材料逾時,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.,計算結果等待材料逾時,確認材料是否卡住. 確認出料感測器是否異常. 確認 IO 是否異常.
8501,ImageCannotDelete,無法刪除影像,確認 log 資料,無法刪除影像,確認 log 資料
